cause_id cause_name mapTarget
998 "Chronic kidney disease due to diabetes mellitus type 2" E112
591 "Chronic kidney disease due to hypertension" I12
592 "Chronic kidney disease due to glomerulonephritis" N03
656 Cellulitis L03
657 Pyoderma A46
642 "Neural tube defects" Q00
643 "Congenital heart anomalies" Q20
644 "Orofacial clefts" Q35
645 "Down syndrome" Q90
648 "Other chromosomal abnormalities" Q87
649 "Congenital musculoskeletal and limb anomalies" Q65
650 "Urogenital congenital anomalies" P960
651 "Digestive congenital anomalies" Q38
652 "Other congenital birth defects" Q02
595 "Urinary tract infections" N10
596 Urolithiasis N20
602 "Other urinary diseases" N25
604 "Uterine fibroids" D25
605 "Polycystic ovarian syndrome" E282
607 Endometriosis N80
608 "Genital prolapse" N81
612 "Other gynecological diseases" N72
614 Thalassemias D56
615 "Sickle cell disorders" D57
616 "G6PD deficiency" D55
618 "Other hemoglobinopathies and hemolytic anemias" D553
690 "Pedestrian road injuries" V01
691 "Cyclist road injuries" V10
692 "Motorcyclist road injuries" V20
693 "Motor vehicle road injuries" V30
694 "Other road injuries" V80
701 "Poisoning by carbon monoxide" X47
703 "Poisoning by other means" X46
705 "Unintentional firearm injuries" W32
707 "Other exposure to mechanical forces" W20
710 "Venomous animal contact" X20
711 "Non-venomous animal contact" W520
713 "Pulmonary aspiration and foreign body in airway" W75
715 "Foreign body in other body part" W44
721 "Self-harm by firearm" X72
723 "Self-harm by other specified means" X60
725 "Physical violence by firearm" X93
726 "Physical violence by sharp object" X99
727 "Physical violence by other means" X85
300 "HIV/AIDS resulting in other diseases" B240
394 Syphilis I980
395 "Chlamydial infection" K670
396 "Gonococcal infection" K671
934 "Drug-susceptible tuberculosis" B90
336 "Other meningitis" G002
402 "Acute hepatitis B" B170
403 "Acute hepatitis C" B192
367 "Maternal hemorrhage" O432
368 "Maternal sepsis and other maternal infections" O85
370 "Maternal obstructed labor and uterine rupture" O64
995 "Maternal abortion and miscarriage" O01
375 "Indirect maternal deaths" O98
379 "Other maternal disorders" O09
381 "Neonatal preterm birth" P07
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P02
383 "Neonatal sepsis and other neonatal infections" P38
385 "Other neonatal disorders" P012
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" D04
847 "Acute myeloid leukemia" C923
943 "Other leukemia" C922
965 "Benign and in situ intestinal neoplasms" K635
966 "Benign and in situ cervical and uterine neoplasms" N87
495 "Ischemic stroke" I63
496 "Intracerebral hemorrhage" I621
497 "Subarachnoid hemorrhage" I620
942 Myocarditis I40
944 "Other cardiomyopathy" I427
512 Asbestosis J920
514 "Other pneumoconiosis" J65
527 "Peptic ulcer disease" K31
562 "Opioid use disorders" P961
563 "Cocaine use disorders" R782
566 "Other drug use disorders" F16
975 "Diabetes mellitus type 1" E103
976 "Diabetes mellitus type 2" E113
656 Cellulitis M725
657 Pyoderma A66
642 "Neural tube defects" Q05
644 "Orofacial clefts" Q37
648 "Other chromosomal abnormalities" Q91
649 "Congenital musculoskeletal and limb anomalies" Q796
650 "Urogenital congenital anomalies" Q50
651 "Digestive congenital anomalies" Q790
652 "Other congenital birth defects" Q06
595 "Urinary tract infections" N15
602 "Other urinary diseases" N29
604 "Uterine fibroids" D282
612 "Other gynecological diseases" N75
618 "Other hemoglobinopathies and hemolytic anemias" D58
690 "Pedestrian road injuries" V06
693 "Motor vehicle road injuries" V872
694 "Other road injuries" V82
703 "Poisoning by other means" X48
707 "Other exposure to mechanical forces" W35
711 "Non-venomous animal contact" W64
713 "Pulmonary aspiration and foreign body in airway" W78
715 "Foreign body in other body part" W453
723 "Self-harm by other specified means" X66
727 "Physical violence by other means" X96
394 Syphilis K672
396 "Gonococcal infection" M730
934 "Drug-susceptible tuberculosis" K673
336 "Other meningitis" G03
402 "Acute hepatitis B" B191
367 "Maternal hemorrhage" O44
368 "Maternal sepsis and other maternal infections" O91
370 "Maternal obstructed labor and uterine rupture" O71
375 "Indirect maternal deaths" O988
379 "Other maternal disorders" O21
381 "Neonatal preterm birth" P22
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P10
385 "Other neonatal disorders" P018
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" D492
847 "Acute myeloid leukemia" C930
943 "Other leukemia" C927
495 "Ischemic stroke" I65
496 "Intracerebral hemorrhage" I681
497 "Subarachnoid hemorrhage" I670
942 Myocarditis I514
944 "Other cardiomyopathy" I43
527 "Peptic ulcer disease" K311
562 "Opioid use disorders" R781
566 "Other drug use disorders" F18
975 "Diabetes mellitus type 1" P702
657 Pyoderma I891
648 "Other chromosomal abnormalities" Q95
650 "Urogenital congenital anomalies" Q60
652 "Other congenital birth defects" Q104
595 "Urinary tract infections" N151
602 "Other urinary diseases" N31
612 "Other gynecological diseases" N83
618 "Other hemoglobinopathies and hemolytic anemias" D591
707 "Other exposure to mechanical forces" W40
713 "Pulmonary aspiration and foreign body in airway" W83
723 "Self-harm by other specified means" X75
727 "Physical violence by other means" Y00
394 Syphilis M031
934 "Drug-susceptible tuberculosis" K930
402 "Acute hepatitis B" P353
367 "Maternal hemorrhage" O62
379 "Other maternal disorders" O26
381 "Neonatal preterm birth" P25
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P20
385 "Other neonatal disorders" P04
847 "Acute myeloid leukemia" C940
943 "Other leukemia" C931
495 "Ischemic stroke" I672
496 "Intracerebral hemorrhage" I691
497 "Subarachnoid hemorrhage" I690
527 "Peptic ulcer disease" K318
566 "Other drug use disorders" P044
657 Pyoderma L00
648 "Other chromosomal abnormalities" Q97
650 "Urogenital congenital anomalies" Q63
652 "Other congenital birth defects" Q30
595 "Urinary tract infections" N30
602 "Other urinary diseases" N323
618 "Other hemoglobinopathies and hemolytic anemias" D593
707 "Other exposure to mechanical forces" W450
723 "Self-harm by other specified means" Y870
727 "Physical violence by other means" Y06
394 Syphilis M731
934 "Drug-susceptible tuberculosis" M490
367 "Maternal hemorrhage" O67
379 "Other maternal disorders" O28
381 "Neonatal preterm birth" P612
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P24
385 "Other neonatal disorders" P045
847 "Acute myeloid leukemia" C942
943 "Other leukemia" C941
495 "Ischemic stroke" I675
566 "Other drug use disorders" R783
657 Pyoderma L04
648 "Other chromosomal abnormalities" Q99
652 "Other congenital birth defects" Q57
595 "Urinary tract infections" N34
602 "Other urinary diseases" N36
618 "Other hemoglobinopathies and hemolytic anemias" D595
707 "Other exposure to mechanical forces" W46
727 "Physical violence by other means" Y871
934 "Drug-susceptible tuberculosis" N741
367 "Maternal hemorrhage" O70
379 "Other maternal disorders" O34
381 "Neonatal preterm birth" P77
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P90
385 "Other neonatal disorders" P08
847 "Acute myeloid leukemia" C944
943 "Other leukemia" C943
495 "Ischemic stroke" I693
657 Pyoderma L08
652 "Other congenital birth defects" Q80
595 "Urinary tract infections" N390
602 "Other urinary diseases" N39
618 "Other hemoglobinopathies and hemolytic anemias" D60
707 "Other exposure to mechanical forces" W49
934 "Drug-susceptible tuberculosis" P370
367 "Maternal hemorrhage" O72
379 "Other maternal disorders" O40
385 "Other neonatal disorders" P19
943 "Other leukemia" C946
657 Pyoderma L88
652 "Other congenital birth defects" Q861
602 "Other urinary diseases" N41
618 "Other hemoglobinopathies and hemolytic anemias" D640
379 "Other maternal disorders" O438
385 "Other neonatal disorders" P29
657 Pyoderma L97
652 "Other congenital birth defects" Q89
602 "Other urinary diseases" N44
379 "Other maternal disorders" O47
385 "Other neonatal disorders" P50
602 "Other urinary diseases" N45
379 "Other maternal disorders" O60
385 "Other neonatal disorders" P60
602 "Other urinary diseases" N49
379 "Other maternal disorders" O63
385 "Other neonatal disorders" P613
379 "Other maternal disorders" O68
385 "Other neonatal disorders" P70
379 "Other maternal disorders" O700
385 "Other neonatal disorders" P703
379 "Other maternal disorders" O73
385 "Other neonatal disorders" P74
379 "Other maternal disorders" O80
385 "Other neonatal disorders" P78
379 "Other maternal disorders" O87
385 "Other neonatal disorders" P80
379 "Other maternal disorders" O92
385 "Other neonatal disorders" P83
385 "Other neonatal disorders" P92
385 "Other neonatal disorders" P96
385 "Other neonatal disorders" P963
385 "Other neonatal disorders" P968
394 Syphilis A500
395 "Chlamydial infection" A56
396 "Gonococcal infection" A540
934 "Drug-susceptible tuberculosis" A150
320 "Paratyphoid fever" A012
361 Ascariasis B770
335 "Meningococcal meningitis" A390
336 "Other meningitis" A870
401 "Acute hepatitis A" B150
402 "Acute hepatitis B" B160
367 "Maternal hemorrhage" O200
368 "Maternal sepsis and other maternal infections" O230
369 "Maternal hypertensive disorders" O100
370 "Maternal obstructed labor and uterine rupture" O320
374 "Ectopic pregnancy" O000
375 "Indirect maternal deaths" O240
379 "Other maternal disorders" N980
381 "Neonatal preterm birth" P011
383 "Neonatal sepsis and other neonatal infections" P360
384 "Hemolytic disease and other neonatal jaundice" P550
385 "Other neonatal disorders" P000
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" C440
943 "Other leukemia" C9130
964 "Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms" D46
965 "Benign and in situ intestinal neoplasms" K621
966 "Benign and in situ cervical and uterine neoplasms" N841
967 "Other benign and in situ neoplasms" N600
495 "Ischemic stroke" G450
496 "Intracerebral hemorrhage" I610
497 "Subarachnoid hemorrhage" I600
968 "Non-rheumatic calcific aortic valve disease" I350
969 "Non-rheumatic degenerative mitral valve disease" I340
970 "Other non-rheumatic valve diseases" I360
944 "Other cardiomyopathy" I422
511 Silicosis J620
514 "Other pneumoconiosis" J630
527 "Peptic ulcer disease" K250
528 "Gastritis and duodenitis" K290
573 "Anorexia nervosa" F5000
562 "Opioid use disorders" F111
563 "Cocaine use disorders" F141
564 "Amphetamine use disorders" F151
566 "Other drug use disorders" F131
975 "Diabetes mellitus type 1" E101
976 "Diabetes mellitus type 2" E110
591 "Chronic kidney disease due to hypertension" I120
592 "Chronic kidney disease due to glomerulonephritis" N030
656 Cellulitis L030
642 "Neural tube defects" Q000
643 "Congenital heart anomalies" Q200
644 "Orofacial clefts" Q351
645 "Down syndrome" Q900
648 "Other chromosomal abnormalities" Q870
649 "Congenital musculoskeletal and limb anomalies" Q650
651 "Digestive congenital anomalies" Q380
652 "Other congenital birth defects" Q03
595 "Urinary tract infections" N11
596 Urolithiasis N200
602 "Other urinary diseases" N250
604 "Uterine fibroids" D250
607 Endometriosis N800
608 "Genital prolapse" N810
614 Thalassemias D560
615 "Sickle cell disorders" D570
616 "G6PD deficiency" D550
618 "Other hemoglobinopathies and hemolytic anemias" D558
690 "Pedestrian road injuries" V010
691 "Cyclist road injuries" V100
692 "Motorcyclist road injuries" V200
693 "Motor vehicle road injuries" V300
694 "Other road injuries" V800
705 "Unintentional firearm injuries" W320
707 "Other exposure to mechanical forces" W200
711 "Non-venomous animal contact" W52XXXD
721 "Self-harm by firearm" X72XXXA
725 "Physical violence by firearm" X93XXXA
726 "Physical violence by sharp object" X990
727 "Physical violence by other means" X920
934 "Drug-susceptible tuberculosis" B900
336 "Other meningitis" G003
368 "Maternal sepsis and other maternal infections" O86
370 "Maternal obstructed labor and uterine rupture" O640
995 "Maternal abortion and miscarriage" O010
375 "Indirect maternal deaths" O980
379 "Other maternal disorders" O090
381 "Neonatal preterm birth" P070
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P020
383 "Neonatal sepsis and other neonatal infections" P381
385 "Other neonatal disorders" P013
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" D040
847 "Acute myeloid leukemia" C9230
966 "Benign and in situ cervical and uterine neoplasms" N870
495 "Ischemic stroke" I630
496 "Intracerebral hemorrhage" I629
942 Myocarditis I400
944 "Other cardiomyopathy" I428
566 "Other drug use disorders" F161
975 "Diabetes mellitus type 1" E1031
976 "Diabetes mellitus type 2" E1131
657 Pyoderma A660
642 "Neural tube defects" Q050
644 "Orofacial clefts" Q370
648 "Other chromosomal abnormalities" Q910
649 "Congenital musculoskeletal and limb anomalies" Q798
650 "Urogenital congenital anomalies" Q500
651 "Digestive congenital anomalies" Q791
652 "Other congenital birth defects" Q060
612 "Other gynecological diseases" N750
618 "Other hemoglobinopathies and hemolytic anemias" D580
690 "Pedestrian road injuries" V060
693 "Motor vehicle road injuries" V872XXA
694 "Other road injuries" V820
707 "Other exposure to mechanical forces" W35XXXA
715 "Foreign body in other body part" W458XXA
723 "Self-harm by other specified means" X710
727 "Physical violence by other means" X960
336 "Other meningitis" G030
367 "Maternal hemorrhage" O440
368 "Maternal sepsis and other maternal infections" O910
370 "Maternal obstructed labor and uterine rupture" O710
375 "Indirect maternal deaths" O9881
379 "Other maternal disorders" O210
381 "Neonatal preterm birth" P220
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P100
385 "Other neonatal disorders" P019
495 "Ischemic stroke" I650
497 "Subarachnoid hemorrhage" I671
527 "Peptic ulcer disease" K312
566 "Other drug use disorders" F181
657 Pyoderma I898
648 "Other chromosomal abnormalities" Q950
650 "Urogenital congenital anomalies" Q600
652 "Other congenital birth defects" Q105
595 "Urinary tract infections" N158
602 "Other urinary diseases" N310
612 "Other gynecological diseases" N830
707 "Other exposure to mechanical forces" W400
723 "Self-harm by other specified means" X75XXXA
727 "Physical violence by other means" Y00XXXA
367 "Maternal hemorrhage" O620
379 "Other maternal disorders" O260
381 "Neonatal preterm birth" P250
385 "Other neonatal disorders" P040
943 "Other leukemia" C9310
495 "Ischemic stroke" I673
496 "Intracerebral hemorrhage" I6910
657 Pyoderma L01
648 "Other chromosomal abnormalities" Q970
650 "Urogenital congenital anomalies" Q630
652 "Other congenital birth defects" Q300
595 "Urinary tract infections" N300
707 "Other exposure to mechanical forces" W450XXA
727 "Physical violence by other means" Y070
367 "Maternal hemorrhage" O670
379 "Other maternal disorders" O280
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P240
385 "Other neonatal disorders" P046
495 "Ischemic stroke" I676
566 "Other drug use disorders" R784
657 Pyoderma L040
648 "Other chromosomal abnormalities" Q990
595 "Urinary tract infections" N340
602 "Other urinary diseases" N360
707 "Other exposure to mechanical forces" W460
379 "Other maternal disorders" O340
381 "Neonatal preterm birth" P771
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P91
385 "Other neonatal disorders" P080
847 "Acute myeloid leukemia" C9440
657 Pyoderma L080
652 "Other congenital birth defects" Q800
618 "Other hemoglobinopathies and hemolytic anemias" D600
707 "Other exposure to mechanical forces" W490
367 "Maternal hemorrhage" O720
379 "Other maternal disorders" O401
385 "Other neonatal disorders" P190
943 "Other leukemia" C948
652 "Other congenital birth defects" Q862
602 "Other urinary diseases" N410
379 "Other maternal disorders" O4381
385 "Other neonatal disorders" P290
657 Pyoderma L971
652 "Other congenital birth defects" Q890
602 "Other urinary diseases" N440
379 "Other maternal disorders" O470
385 "Other neonatal disorders" P500
602 "Other urinary diseases" N451
379 "Other maternal disorders" O600
385 "Other neonatal disorders" P61
602 "Other urinary diseases" N490
379 "Other maternal disorders" O630
385 "Other neonatal disorders" P614
379 "Other maternal disorders" O69
385 "Other neonatal disorders" P700
379 "Other maternal disorders" O701
385 "Other neonatal disorders" P704
379 "Other maternal disorders" O730
385 "Other neonatal disorders" P740
379 "Other maternal disorders" O82
385 "Other neonatal disorders" P780
379 "Other maternal disorders" O870
385 "Other neonatal disorders" P800
379 "Other maternal disorders" O920
385 "Other neonatal disorders" P830
385 "Other neonatal disorders" P920
394 Syphilis A5001
395 "Chlamydial infection" A560
396 "Gonococcal infection" A5400
934 "Drug-susceptible tuberculosis" A154
320 "Paratyphoid fever" A013
361 Ascariasis B778
335 "Meningococcal meningitis" A391
336 "Other meningitis" A871
401 "Acute hepatitis A" B159
402 "Acute hepatitis B" B161
367 "Maternal hemorrhage" O208
368 "Maternal sepsis and other maternal infections" O2300
369 "Maternal hypertensive disorders" O1001
370 "Maternal obstructed labor and uterine rupture" O320XX0
374 "Ectopic pregnancy" O001
375 "Indirect maternal deaths" O2401
379 "Other maternal disorders" N981
383 "Neonatal sepsis and other neonatal infections" P361
384 "Hemolytic disease and other neonatal jaundice" P551
385 "Other neonatal disorders" P001
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" C4400
943 "Other leukemia" C9131
964 "Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms" D460
967 "Other benign and in situ neoplasms" N6001
495 "Ischemic stroke" G451
496 "Intracerebral hemorrhage" I611
497 "Subarachnoid hemorrhage" I6000
968 "Non-rheumatic calcific aortic valve disease" I351
969 "Non-rheumatic degenerative mitral valve disease" I341
970 "Other non-rheumatic valve diseases" I361
944 "Other cardiomyopathy" I423
511 Silicosis J628
514 "Other pneumoconiosis" J631
527 "Peptic ulcer disease" K251
528 "Gastritis and duodenitis" K2900
573 "Anorexia nervosa" F5001
562 "Opioid use disorders" F1110
563 "Cocaine use disorders" F1410
564 "Amphetamine use disorders" F1510
566 "Other drug use disorders" F1310
976 "Diabetes mellitus type 2" E1100
591 "Chronic kidney disease due to hypertension" I129
592 "Chronic kidney disease due to glomerulonephritis" N031
656 Cellulitis L0301
642 "Neural tube defects" Q001
643 "Congenital heart anomalies" Q201
644 "Orofacial clefts" Q353
645 "Down syndrome" Q901
648 "Other chromosomal abnormalities" Q871
649 "Congenital musculoskeletal and limb anomalies" Q6500
651 "Digestive congenital anomalies" Q381
652 "Other congenital birth defects" Q030
595 "Urinary tract infections" N110
596 Urolithiasis N201
602 "Other urinary diseases" N251
604 "Uterine fibroids" D251
607 Endometriosis N801
608 "Genital prolapse" N811
614 Thalassemias D561
615 "Sickle cell disorders" D5700
616 "G6PD deficiency" D551
618 "Other hemoglobinopathies and hemolytic anemias" D559
690 "Pedestrian road injuries" V0100
691 "Cyclist road injuries" V100XXA
692 "Motorcyclist road injuries" V200XXA
693 "Motor vehicle road injuries" V300XXA
694 "Other road injuries" V8001
705 "Unintentional firearm injuries" W320XXA
707 "Other exposure to mechanical forces" W200XXA
711 "Non-venomous animal contact" W52XXXS
721 "Self-harm by firearm" X72XXXD
725 "Physical violence by firearm" X93XXXD
726 "Physical violence by sharp object" X990XXA
727 "Physical violence by other means" X920XXA
934 "Drug-susceptible tuberculosis" B901
336 "Other meningitis" G008
368 "Maternal sepsis and other maternal infections" O860
370 "Maternal obstructed labor and uterine rupture" O640XX0
995 "Maternal abortion and miscarriage" O011
375 "Indirect maternal deaths" O9801
379 "Other maternal disorders" O0900
381 "Neonatal preterm birth" P0700
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P021
383 "Neonatal sepsis and other neonatal infections" P389
385 "Other neonatal disorders" P014
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" D041
847 "Acute myeloid leukemia" C9231
966 "Benign and in situ cervical and uterine neoplasms" N871
495 "Ischemic stroke" I6300
942 Myocarditis I401
566 "Other drug use disorders" F1610
975 "Diabetes mellitus type 1" E10311
976 "Diabetes mellitus type 2" E11311
657 Pyoderma A661
642 "Neural tube defects" Q051
644 "Orofacial clefts" Q371
648 "Other chromosomal abnormalities" Q911
649 "Congenital musculoskeletal and limb anomalies" Q799
650 "Urogenital congenital anomalies" Q5001
651 "Digestive congenital anomalies" Q792
652 "Other congenital birth defects" Q061
612 "Other gynecological diseases" N751
618 "Other hemoglobinopathies and hemolytic anemias" D581
690 "Pedestrian road injuries" V0600
693 "Motor vehicle road injuries" V872XXD
694 "Other road injuries" V820XXA
707 "Other exposure to mechanical forces" W35XXXD
715 "Foreign body in other body part" W458XXD
723 "Self-harm by other specified means" X710XXA
727 "Physical violence by other means" X960XXA
336 "Other meningitis" G031
367 "Maternal hemorrhage" O4400
368 "Maternal sepsis and other maternal infections" O9101
370 "Maternal obstructed labor and uterine rupture" O7100
375 "Indirect maternal deaths" O98811
379 "Other maternal disorders" O211
381 "Neonatal preterm birth" P221
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P101
495 "Ischemic stroke" I6501
527 "Peptic ulcer disease" K313
566 "Other drug use disorders" F1810
648 "Other chromosomal abnormalities" Q951
650 "Urogenital congenital anomalies" Q601
652 "Other congenital birth defects" Q106
595 "Urinary tract infections" N159
602 "Other urinary diseases" N311
612 "Other gynecological diseases" N831
707 "Other exposure to mechanical forces" W400XXA
723 "Self-harm by other specified means" X75XXXD
727 "Physical violence by other means" Y00XXXD
367 "Maternal hemorrhage" O621
379 "Other maternal disorders" O2600
381 "Neonatal preterm birth" P251
385 "Other neonatal disorders" P041
943 "Other leukemia" C9311
496 "Intracerebral hemorrhage" I6911
657 Pyoderma L010
648 "Other chromosomal abnormalities" Q971
650 "Urogenital congenital anomalies" Q631
652 "Other congenital birth defects" Q301
595 "Urinary tract infections" N3000
707 "Other exposure to mechanical forces" W450XXD
727 "Physical violence by other means" Y0701
367 "Maternal hemorrhage" O678
379 "Other maternal disorders" O281
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P2400
385 "Other neonatal disorders" P048
566 "Other drug use disorders" R785
657 Pyoderma L041
648 "Other chromosomal abnormalities" Q991
595 "Urinary tract infections" N341
602 "Other urinary diseases" N361
707 "Other exposure to mechanical forces" W460XXA
379 "Other maternal disorders" O3400
381 "Neonatal preterm birth" P772
382 "Neonatal encephalopathy due to birth asphyxia and trauma" P910
385 "Other neonatal disorders" P081
847 "Acute myeloid leukemia" C9441
657 Pyoderma L081
652 "Other congenital birth defects" Q801
618 "Other hemoglobinopathies and hemolytic anemias" D601
707 "Other exposure to mechanical forces" W4901
367 "Maternal hemorrhage" O721
379 "Other maternal disorders" O401XX0
385 "Other neonatal disorders" P191
943 "Other leukemia" C9480
652 "Other congenital birth defects" Q868
602 "Other urinary diseases" N411
379 "Other maternal disorders" O43811
385 "Other neonatal disorders" P291
657 Pyoderma L9710
652 "Other congenital birth defects" Q8901
379 "Other maternal disorders" O4700
385 "Other neonatal disorders" P501
602 "Other urinary diseases" N452
379 "Other maternal disorders" O6000
385 "Other neonatal disorders" P610
602 "Other urinary diseases" N491
379 "Other maternal disorders" O631
385 "Other neonatal disorders" P615
379 "Other maternal disorders" O690
385 "Other neonatal disorders" P701
379 "Other maternal disorders" O702
385 "Other neonatal disorders" P708
379 "Other maternal disorders" O731
385 "Other neonatal disorders" P741
385 "Other neonatal disorders" P781
379 "Other maternal disorders" O871
385 "Other neonatal disorders" P808
379 "Other maternal disorders" O9201
385 "Other neonatal disorders" P831
385 "Other neonatal disorders" P9201
394 Syphilis A5002
395 "Chlamydial infection" A5600
396 "Gonococcal infection" A5401
934 "Drug-susceptible tuberculosis" A155
320 "Paratyphoid fever" A014
361 Ascariasis B7781
335 "Meningococcal meningitis" A392
336 "Other meningitis" A872
402 "Acute hepatitis B" B162
367 "Maternal hemorrhage" O209
368 "Maternal sepsis and other maternal infections" O2301
369 "Maternal hypertensive disorders" O10011
370 "Maternal obstructed labor and uterine rupture" O320XX1
374 "Ectopic pregnancy" O002
375 "Indirect maternal deaths" O24011
379 "Other maternal disorders" N982
383 "Neonatal sepsis and other neonatal infections" P3610
384 "Hemolytic disease and other neonatal jaundice" P558
385 "Other neonatal disorders" P002
849 "Non-melanoma skin cancer (squamous-cell carcinoma)" C4401
943 "Other leukemia" C9132
964 "Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms" D461
967 "Other benign and in situ neoplasms" N6002
495 "Ischemic stroke" G452
496 "Intracerebral hemorrhage" I612
497 "Subarachnoid hemorrhage" I6001
968 "Non-rheumatic calcific aortic valve disease" I352
969 "Non-rheumatic degenerative mitral valve disease" I342
970 "Other non-rheumatic valve diseases" I362
944 "Other cardiomyopathy" I424
514 "Other pneumoconiosis" J632
527 "Peptic ulcer disease" K252
528 "Gastritis and duodenitis" K2901
573 "Anorexia nervosa" F5002
562 "Opioid use disorders" F1112
563 "Cocaine use disorders" F1412
564 "Amphetamine use disorders" F1512
566 "Other drug use disorders" F1312
976 "Diabetes mellitus type 2" E1101
591 "Chronic kidney disease due to hypertension" I13
592 "Chronic kidney disease due to glomerulonephritis" N032
656 Cellulitis L03011
642 "Neural tube defects" Q002
643 "Congenital heart anomalies" Q202
644 "Orofacial clefts" Q355
645 "Down syndrome" Q902
648 "Other chromosomal abnormalities" Q872
649 "Congenital musculoskeletal and limb anomalies" Q6501
651 "Digestive congenital anomalies" Q382
652 "Other congenital birth defects" Q031
595 "Urinary tract infections" N111
596 Urolithiasis N202
602 "Other urinary diseases" N258
604 "Uterine fibroids" D252
607 Endometriosis N802
608 "Genital prolapse" N8110
614 Thalassemias D562
615 "Sickle cell disorders" D5701
616 "G6PD deficiency" D552
690 "Pedestrian road injuries" V0100XA
691 "Cyclist road injuries" V100XXD
692 "Motorcyclist road injuries" V200XXD
693 "Motor vehicle road injuries" V300XXD
694 "Other road injuries" V80010
705 "Unintentional firearm injuries" W320XXD
707 "Other exposure to mechanical forces" W200XXD
711 "Non-venomous animal contact" W53
721 "Self-harm by firearm" X72XXXS
725 "Physical violence by firearm" X93XXXS
726 "Physical violence by sharp object" X990XXD
727 "Physical violence by other means" X920XXD
934 "Drug-susceptible tuberculosis" B902
368 "Maternal sepsis and other maternal infections" O861
370 "Maternal obstructed labor and uterine rupture" O640XX1
995 "Maternal abortion and miscarriage" O019
375 "Indirect maternal deaths" O98011
379 "Other maternal disorders" O0901
381 "Neonatal preterm birth" P0701
